Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2018;Estás Me Matando Susana;E1800412300000;Ficção;Canadá, México;Estrangeira;18/10/2018;Mares Filmes/A2 Filmes;Distribuição Nacional;9.596;150.489,00
2018;Eu Não Sou Seu Negro;E1700046500000;Documentário;Bélgica, Estados Unidos, França, Suíça;Estrangeira;16/02/2017;Imovision;Distribuição Nacional;152;1.052,00
2018;Eu Só Posso Imaginar;E1800019200000;Ficção;Estados Unidos;Estrangeira;31/05/2018;Paris;Distribuição Nacional;253.348;3.729.448,00
2018;Eu, Daniel Blake;E1600489200000;Ficção;Bélgica, França, Reino Unido;Estrangeira;05/01/2017;Imovision;Distribuição Nacional;109;753
2018;Eu, Tonya;E1700586200000;Ficção;Estados Unidos;Estrangeira;15/02/2018;Califórnia;Distribuição Nacional;52.413;903.427,00
2018;Excelentíssimos;B1800462300000;Documentário;Brasil;Brasileira;22/12/2018;Vitrine Filmes;Distribuição Nacional;1.949;24.392,00
2018;Exorcismos E Demônios;E1700202500000;Ficção;Estados Unidos;Estrangeira;19/04/2018;Imagem/Califórnia;Distribuição Nacional;307.908;4.448.092,00
2018;Ex-Pajé;B1800001000000;Documentário;Brasil;Brasileira;26/04/2018;Gullane Entretenimento;Distribuição Nacional;9.133;130.030,00
2018;Extraordinário*;E1700451500000;Ficção;Estados Unidos;Estrangeira;07/12/2017;Paris;Distribuição Nacional;2.499.804;36.569.687,00
2018;Faces De Uma Mulher;E1700173200000;Ficção;França;Estrangeira;25/05/2017;Alphaville Filmes;Distribuição Nacional;51;691
2018;Fala Comigo;B1600708000000;Ficção;Brasil;Brasileira;13/07/2017;Vitrine Filmes;Distribuição Nacional;39;158
2018;Fala Sério, Mãe!*;B1700552000000;Ficção;Brasil;Brasileira;28/12/2017;Downtown/Paris;Distribuição Nacional;2.028.293;27.397.427,00
2018;Fantástica;E1800301500000;Animação;China;Estrangeira;13/09/2018;Lança Filmes;Distribuição Nacional;51.505;489.338,00
2018;Feliz Ano Velho;B0400103500000;Ficção;Brasil;Brasileira;01/06/1987;Brasil 1500;Distribuição Nacional;125;1.035,00
2018;Ferrugem;B1800056700000;Ficção;Brasil;Brasileira;30/08/2018;Olhar Distribuição;Distribuição Nacional;27.808;362.004,00
2018;Fica Mais Escuro Antes Do Amanhecer;B1600412300000;Ficção;Brasil;Brasileira;30/08/2018;O2 Play;Distribuição Nacional;540;6.648,00
2018;Filme Paisagem - Um Olhar Sobre Roberto Burle Marx;B1800044200000;Documentário;Brasil;Brasileira;15/11/2018;Elo Company;Distribuição Nacional;1.837;25.226,00
2018;Frozen: Uma Aventura Congelante;E1500922200000;Animação;Estados Unidos;Estrangeira;03/01/2014;Disney;Distribuição Internacional;1.582;13.778,00
2018;Fátima;E1600489100000;Ficção;Canadá, França;Estrangeira;16/03/2017;Imovision;Distribuição Nacional;50;324
2018;Fátima, O Último Mistério;E1800283500000;Documentário;Espanha;Estrangeira;09/08/2018;Cinemark Brasil;Distribuição Nacional;112.174;1.796.451,00
2018;Fúria Em Alto Mar;E1800391000000;Ficção;Estados Unidos;Estrangeira;25/10/2018;Imagem/Califórnia;Distribuição Nacional;220.193;3.314.751,00
2018;Gabriel e a Montanha*;B1700305400000;Ficção;França, Brasil;Brasileira;02/11/2017;Bretz Filmes/Pagu Pictures;Distribuição Nacional;853;12.414,00
2018;Gaby Estrella;B1600754000000;Ficção;Brasil;Brasileira;18/01/2018;Downtown/Paris;Distribuição Nacional;37.679;506.245,00
2018;Gaga - O Amor Pela Dança;E1600706500000;Documentário;Alemanha, Holanda, Israel, Suécia;Estrangeira;06/04/2017;Vitrine Filmes;Distribuição Nacional;8;50
2018;Garimpeiros Do Voto;B1700529800000;Documentário;Brasil;Brasileira;28/02/2018;Bizum;Distribuição Nacional;75;328
2018;Gauguin - Viagem Ao Taiti;E1800244000000;Ficção;França;Estrangeira;23/08/2018;Mares Filmes/A2 Filmes;Distribuição Nacional;23.974;342.744,00
2018;Goosebumps: Halloween Assombrado;E1800184600000;Ficção;Estados Unidos;Estrangeira;11/10/2018;Sony;Distribuição Internacional;338.533;4.730.749,00
2018;Grandes Médicos;B1700481900000;Documentário;Brasil;Brasileira;28/06/2018;Accorde Audiovisuais;Distribuição Nacional;24;190
2018;Gringo - Vivo Ou Morto;E1800075900000;Ficção;Austrália, Estados Unidos;Estrangeira;03/05/2018;Diamond Films;Distribuição Nacional;12.388;246.852,00
2018;Gritos e Sussurros;E1600273100000;Ficção;Suécia;Estrangeira;Relançamento;F. J. Cines;Distribuição Nacional;584;7.890,00
2018;Guardiões Da Galáxia Vol. 2;E1700019900000;Ficção;Estados Unidos;Estrangeira;27/04/2017;Disney;Distribuição Internacional;131;1.153,00
2018;Guarnieri;B1800152000000;Documentário;Brasil;Brasileira;26/04/2018;Mira Filmes;Distribuição Nacional;199;769
2018;Górgona;B1700605900000;Documentário;Brasil;Brasileira;29/03/2018;Espaço Filmes;Distribuição Nacional;224;4.189,00
2018;Halloween;E1800335600000;Ficção;Estados Unidos;Estrangeira;25/10/2018;Universal;Distribuição Internacional;1.122.367;15.857.255,00
2018;Han Solo: Uma Historia Star Wars;E1800068600000;Ficção;Estados Unidos;Estrangeira;24/05/2018;Disney;Distribuição Internacional;703.668;13.028.042,00
2018;Hannah;E1800260700000;Ficção;Bélgica, França, Itália;Estrangeira;12/07/2018;Zeta Filmes;Distribuição Nacional;12.101;177.232,00
2018;Hare Krishna ? O Mantra;E1800136200000;Documentário;Estados Unidos;Estrangeira;10/05/2018;Cinecolor Do Brasil;Distribuição Nacional;2.493;53.324,00
2018;Heartstone;E1600735000000;Ficção;Dinamarca, Islândia;Estrangeira;01/09/2017;Filmes Da Mostra;Distribuição Nacional;19;245
2018;Henfil;B1700469700000;Documentário;Brasil;Brasileira;01/12/2018;O2 Play;Distribuição Nacional;2.116;29.591,00
2018;Hereditário;E1800073100000;Ficção;Estados Unidos;Estrangeira;21/06/2018;Diamond Films;Distribuição Nacional;253.611;3.628.444,00
2018;Hilda Hilst Pede Contato;B1800290300000;Documentário;Brasil;Brasileira;02/08/2018;Imovision;Distribuição Nacional;3.936;53.086,00
2018;Hiroshima Meu Amor;E1600735100000;Ficção;França, Japão;Estrangeira;Relançamento;Zeta Filmes;Distribuição Nacional;113;1.013,00
2018;Historietas Assombradas - O Filme*;B1700339700000;Animação;Brasil;Brasileira;02/11/2017;Vitrine Filmes;Distribuição Nacional;125;743
2018;História Antes De Uma História;B1402280900000;Animação;Brasil;Brasileira;16/03/2017;Polifilmes/Spcine;Distribuição Nacional;113;1.130,00
2018;Histórias de Amor que Não Pertencem a Este Mundo*;E1700463900000;Ficção;Itália;Estrangeira;16/11/2017;Alphaville Filmes;Distribuição Nacional;593;7.428,00
2018;Histórias Que Nosso Cinema (Não) Contava;B1700065100000;Documentário;Brasil;Brasileira;23/08/2018;Boulevard Filmes;Distribuição Nacional;3.892;46.222,00
2018;Homem-Formiga E A Vespa;E1800255300000;Ficção;Estados Unidos;Estrangeira;05/07/2018;Disney;Distribuição Internacional;3.257.029;50.051.271,00
2018;Horas De Verão;E1600542900000;Ficção;França;Estrangeira;03/07/2009;Filmes Da Mostra;Distribuição Nacional;78;704
2018;Hotel Artemis;E1800289900000;Ficção;Estados Unidos, Reino Unido;Estrangeira;13/09/2018;Diamond Films;Distribuição Nacional;23.575;448.660,00
2018;Hotel Transilvânia 3: Férias Monstruosas;E1800038100000;Animação;Estados Unidos;Estrangeira;12/07/2018;Sony;Distribuição Internacional;5.375.364;74.786.196,00
2018;Human Flow - Não Existe Lar Se Não Há Para Onde Ir;E1700469100000;Documentário;Alemanha;Estrangeira;16/11/2017;Paris;Distribuição Nacional;345;2.971,00
2018;Híbridos, Os Espíritos Do Brasil;B1700374300000;Documentário;Brasil, França;Brasileira;15/03/2018;Descoloniza Filmes;Distribuição Nacional;1.420;22.841,00
2018;Ida;E1402706800000;Ficção;Polônia;Estrangeira;25/12/2014;Zeta Filmes;Distribuição Nacional;2;47
2018;Ilha Dos Cachorros;E1800252300000;Animação;Alemanha, Estados Unidos;Estrangeira;19/07/2018;Fox;Distribuição Internacional;23.588;431.723,00
2018;Imagens Do Estado Novo 1937-45;B1600193300000;Documentário;Brasil;Brasileira;15/03/2018;Brasil 1500;Distribuição Nacional;2.701;39.625,00
2018;Infiltrado Na Klan;E1800396900000;Ficção;Estados Unidos;Estrangeira;22/11/2018;Universal;Distribuição Internacional;129.939;2.596.693,00
2018;Intimidade Entre Estranhos;B1800449100000;Ficção;Brasil;Brasileira;13/12/2018;Vitrine Filmes;Distribuição Nacional;4.017;63.364,00
2018;Invisível;B1700381100000;Ficção;Argentina, Brasil, Uruguai;Brasileira;09/11/2017;Vitrine Filmes;Distribuição Nacional;122;788
2018;Isto (Não) É Um Assalto;B1800548300000;Documentário;Brasil;Brasileira;21/11/2018;Kinopus;Distribuição Nacional;1.067;10.261,00
2018;Jesus - A Esperança*;B1700447200000;Ficção;Brasil;Brasileira;14/12/2017;Moro Comunicação;Distribuição Nacional;0;0
2018;Joaquim;B1700092500000;Ficção;Portugal, Brasil;Brasileira;20/04/2017;Imovision;Distribuição Nacional;23;175
2018;Jogador Nº1;E1800085100000;Ficção;Estados Unidos;Estrangeira;29/03/2018;Warner;Distribuição Internacional;1.157.305;20.037.792,00
2018;Jogos Mortais: Jigsaw*;E1700451200000;Ficção;Canadá, Estados Unidos;Estrangeira;30/11/2017;Paris;Distribuição Nacional;3.332;29.444,00
2018;John Wick – Um Novo Dia Para Matar;E1700011600000;Ficção;Estados Unidos;Estrangeira;16/02/2017;Paris;Distribuição Nacional;16;112
2018;Johnny English 3.0;E1800337100000;Ficção;Reino Unido;Estrangeira;01/11/2018;Universal;Distribuição Internacional;122.707;1.831.162,00
2018;Jonas E O Circo Sem Lona;B1600018100000;Documentário;Brasil;Brasileira;16/03/2017;Vitrine Filmes;Distribuição Nacional;157;606
2018;Jovem Mulher*;E1700522000000;Ficção;França;Estrangeira;21/12/2017;Zeta Filmes;Distribuição Nacional;2.862;35.536,00
2018;Jovens Titãs Em Ação! Nos Cinemas;E1800215000000;Animação;Estados Unidos;Estrangeira;30/08/2018;Warner;Distribuição Internacional;1.012.555;13.786.217,00
2018;Juliet, Nua E Crua;E1800346400000;Ficção;Estados Unidos;Estrangeira;04/10/2018;Diamond Films;Distribuição Nacional;9.602;158.576,00
2018;Julieta;E1600356700000;Ficção;Espanha;Estrangeira;07/07/2016;Universal;Distribuição Internacional;1;52
2018;Jumanji: Bem-Vindo à Selva*;E1500756400000;Ficção;Estados Unidos;Estrangeira;04/01/2018;Sony;Distribuição Internacional;4.515.253;70.389.302,00
2018;Jurassic Park - O Parque Dos Dinossauros;E1402442400000;Ficção;Estados Unidos;Estrangeira;Relançamento;Universal;Distribuição Internacional;6.180;92.117,00
2018;Jurassic World - Reino Ameaçado;E1800169900000;Ficção;Estados Unidos;Estrangeira;21/06/2018;Universal;Distribuição Internacional;5.258.742;80.619.075,00
2018;Jurassic World: O Mundo Dos Dinossauros;E1500311700000;Ficção;Estados Unidos;Estrangeira;11/06/2015;Universal;Distribuição Internacional;2.506;62.812,00
2018;Kin;E1800319800000;Ficção;Estados Unidos;Estrangeira;06/09/2018;Paris;Distribuição Nacional;3.639;70.931,00
2018;Lady Bird - A Hora De Voar;E1700591400000;Ficção;Estados Unidos;Estrangeira;15/02/2018;Universal;Distribuição Internacional;103.442;1.852.674,00
2018;Lamparina Da Aurora;B1600764800000;Ficção;Brasil;Brasileira;30/11/2017;Lume Produções Cinematográficas;Distribuição Nacional;66;450
2018;Legalize Já - Amizade Nunca Morre;B1800046600000;Ficção;Brasil;Brasileira;18/10/2018;Imagem;Distribuição Nacional;36.251;533.139,00
2018;Lego Batman;E1700025200000;Animação;Dinamarca, Estados Unidos;Estrangeira;09/02/2017;Warner;Distribuição Internacional;40;472
2018;Lego Ninjago - O Filme;E1700366200000;Animação;Estados Unidos;Estrangeira;28/09/2017;Warner;Distribuição Internacional;105;1.339,00
2018;Leto;E1800281700000;Ficção;França, Rússia;Estrangeira;15/11/2018;Imovision;Distribuição Nacional;2.155;33.317,00
2018;Liga da Justiça*;E1700482600000;Ficção;Estados Unidos;Estrangeira;15/11/2017;Warner;Distribuição Internacional;154.448;2.452.497,00
2018;Limites;E1800341100000;Ficção;Canadá, Estados Unidos;Estrangeira;13/09/2018;Sony;Distribuição Internacional;12.246;221.444,00
2018;Lino - Uma Aventura de Sete Vidas*;B1700382400000;Animação;Brasil;Brasileira;07/09/2017;Fox;Distribuição Internacional;50;250
2018;Literalmente Especiais;B1700307700000;Documentário;Brasil;Brasileira;11/01/2018;Latinamerica Entretenimento Internacional;Distribuição Nacional;295;3.033,00
2018;Lizzie;E1800466600000;Ficção;Estados Unidos;Estrangeira;03/01/2019;Diamond Films;Distribuição Nacional;33;580
2018;Lola Pater*;E1700438600000;Ficção;Bélgica, França;Estrangeira;23/11/2017;Imovision;Distribuição Nacional;235;2.269,00
2018;Los Territorios;B1700605800000;Documentário;Argentina, Brasil;Brasileira;07/06/2018;Vitrine Filmes;Distribuição Nacional;864;8.504,00
2018;Lou;E1700564100000;Ficção;Alemanha, Áustria, Itália, Suíça;Estrangeira;11/01/2018;Cineart Filmes;Distribuição Nacional;44.685;647.247,00
2018;Lua De Júpiter;E1800183800000;Ficção;Alemanha, Hungria;Estrangeira;31/05/2018;Imovision;Distribuição Nacional;3.908;64.897,00
2018;Lucky*;E1700534300000;Ficção;Estados Unidos;Estrangeira;07/12/2017;Imovision;Distribuição Nacional;2.191;28.169,00
2018;Lumière! A Aventura Começa*;E1700540500000;Documentário;França;Estrangeira;14/12/2017;Imovision;Distribuição Nacional;1.814;22.317,00
2018;Lámen Shop;E1800316800000;Ficção;Cingapura, França, Japão;Estrangeira;26/07/2018;Imovision;Distribuição Nacional;15.051;249.586,00
2018;Macaco Tião - O Candidato do Povo*;B1700051900000;Documentário;Brasil;Brasileira;14/12/2017;Pipa Produções;Distribuição Nacional;0;0
2018;Madame;E1700587400000;Ficção;França;Estrangeira;29/03/2018;Califórnia;Distribuição Nacional;41.403;739.778,00
2018;Mamma Mia! Lá Vamos Nós De Novo;E1800169700000;Ficção;Estados Unidos;Estrangeira;02/08/2018;Universal;Distribuição Internacional;801.037;14.030.706,00
2018;Manifesto*;E1700465000000;Ficção;Alemanha;Estrangeira;26/10/2017;Alphaville Filmes;Distribuição Nacional;242;2.124,00
2018;Marcha Cega;B1800260300000;Documentário;Brasil;Brasileira;27/09/2018;Elo Company;Distribuição Nacional;900;6.692,00
2018;Marcos Medeiros - Codinome Vampiro;B1700000300000;Documentário;Brasil;Brasileira;10/05/2018;Cavideo Produções;Distribuição Nacional;117;1.615,00
2018;Mare Nostrum;B1800092400000;Ficção;Brasil;Brasileira;04/10/2018;Imovision;Distribuição Nacional;1.950;25.177,00
2018;Maria - Não Esqueça Que Eu Venho Dos Trópicos;B1700248200000;Documentário;Brasil;Brasileira;16/11/2017;Pandora Filmes;Distribuição Nacional;101;354
2018;Maria Callas - Em Suas Próprias Palavras;E1800492800000;Documentário;França;Estrangeira;06/12/2018;Imovision;Distribuição Nacional;14.985;252.155,00
2018;Maria Madalena;E1800053400000;Ficção;Reino Unido;Estrangeira;15/03/2018;Universal;Distribuição Internacional;201.281;3.198.096,00
2018;Martírio;B1600787700000;Documentário;Brasil;Brasileira;13/04/2017;Vitrine Filmes;Distribuição Nacional;22;153
2018;Marvin;E1800243700000;Ficção;França;Estrangeira;06/09/2018;Mares Filmes/A2 Filmes;Distribuição Nacional;13.566;206.241,00
2018;Mata Negra;B1800002100000;Ficção;Brasil;Brasileira;06/12/2018;Elo Company;Distribuição Nacional;873;8.561,00
2018;Maze Runner: A Cura Mortal;E1800020400000;Ficção;Estados Unidos;Estrangeira;25/01/2018;Fox;Distribuição Internacional;1.444.963;22.673.859,00
2018;Mazinger Z - Infinity;E1800192300000;Animação;Japão;Estrangeira;07/06/2018;Diamond Films;Distribuição Nacional;778;12.689,00
2018;Me Chame Pelo Seu Nome;E1700458100000;Ficção;Brasil, Estados Unidos, França, Itália;Estrangeira;18/01/2018;Sony;Distribuição Internacional;172.365;2.985.467,00
2018;Medo Profundo;E1800059700000;Ficção;Estados Unidos, Reino Unido, República Dominicana;Estrangeira;08/03/2018;Playarte;Distribuição Nacional;52.716;719.140,00
2018;Medo Viral;E1700506500000;Ficção;Estados Unidos;Estrangeira;16/08/2018;Fênix Filmes;Distribuição Nacional;3.421;50.564,00
2018;Megatubarão;E1800214800000;Ficção;Estados Unidos;Estrangeira;09/08/2018;Warner;Distribuição Internacional;1.882.462;29.378.599,00
2018;Memória Italiana - Histórias Em Família;B1800177600000;Documentário;Brasil;Brasileira;21/06/2018;Latinamerica Entretenimento Internacional;Distribuição Nacional;77;854
2018;Memórias De Uma Escola;B1700306600000;Documentário;Brasil;Brasileira;11/01/2018;Latinamerica Entretenimento Internacional;Distribuição Nacional;275;2.834,00
2018;Mentes Sombrias;E1800252900000;Ficção;Estados Unidos;Estrangeira;16/08/2018;Fox;Distribuição Internacional;176.557;2.488.303,00
2018;Meu Amigo Vampiro;E1700626500000;Animação;Alemanha, Dinamarca, Holanda, Reino Unido;Estrangeira;08/02/2018;Playarte;Distribuição Nacional;119.554;1.676.300,00
2018;Meu Amigo, O Dragão;E1600438200000;Ficção;Estados Unidos;Estrangeira;29/09/2016;Disney;Distribuição Internacional;166;4.359,00
2018;Meu Anjo;E1800429300000;Ficção;França;Estrangeira;25/10/2018;Imovision;Distribuição Nacional;6.677;108.146,00
2018;Meu Corpo é Político;B1700050700000;Documentário;Brasil;Brasileira;30/11/2017;Olhar Distribuição;Distribuição Nacional;52;285
2018;Meu Ex É Um Espião;E1800318300000;Ficção;Estados Unidos;Estrangeira;23/08/2018;Paris;Distribuição Nacional;155.502;2.283.553,00
2018;Meu Malvado Favorito;E1402519900000;Animação;Estados Unidos;Estrangeira;06/08/2010;Universal;Distribuição Internacional;1.233;12.284,00
2018;Meu Malvado Favorito 2;E1402520000000;Animação;Estados Unidos;Estrangeira;05/07/2013;Universal;Distribuição Internacional;1.412;15.750,00
2018;Meu Malvado Favorito 3;E1500759400000;Animação;Estados Unidos;Estrangeira;29/06/2017;Universal;Distribuição Internacional;7.114;66.589,00
2018;Meu Querido Filho;E1800547800000;Ficção;Bélgica, França, Qatar, Tunísia;Estrangeira;03/01/2019;Pandora Filmes;Distribuição Nacional;105;788
2018;Meu Tio E O Joelho De Porco;B1700480400000;Documentário;Brasil;Brasileira;30/08/2018;Elo Company;Distribuição Nacional;475;4.140,00
2018;Meu Tricolor De Aço;B1800505200000;Documentário;Brasil;Brasileira;06/12/2018;Estação Luz Filmes;Distribuição Nacional;9.541;141.001,00
2018;Millennium - A Garota Na Teia De Aranha;E1800184500000;Ficção;Estados Unidos;Estrangeira;08/11/2018;Sony;Distribuição Internacional;192.578;3.271.907,00
2018;Mimosas*;E1700228600000;Ficção;Espanha, França, Marrocos, Qatar;Estrangeira;24/08/2017;Pandora Filmes;Distribuição Nacional;36;468
2018;Minas Do Futebol;B1800563600000;Documentário;Brasil;Brasileira;13/12/2018;Paris;Distribuição Nacional;41;556
2018;Minha Amiga Do Parque;E1700606200000;Ficção;Argentina, Uruguai;Estrangeira;22/02/2018;Descoloniza Filmes;Distribuição Nacional;2.053;29.129,00
2018;Minha Filha;E1800341000000;Ficção;Itália;Estrangeira;11/10/2018;Imovision;Distribuição Nacional;8.063;126.746,00
2018;Minha Vida Em Marte;B1800539000000;Ficção;Brasil;Brasileira;25/12/2018;Downtown/Paris;Distribuição Nacional;925.411;14.715.902,00
2018;Minions;E1500311600000;Animação;Estados Unidos;Estrangeira;25/06/2015;Universal;Distribuição Internacional;3.493;32.498,00
2018;Missão 115;B1800300700000;Documentário;Brasil;Brasileira;23/08/2018;Bretz Filmes;Distribuição Nacional;1.467;20.520,00
2018;Missão Cegonha;E1700455600000;Animação;Alemanha, Bélgica, Estados Unidos, Luxemburgo, Noruega;Estrangeira;26/10/2017;Playarte;Distribuição Nacional;899;6.729,00
2018;Missão: Impossível - Efeito Fallout;E1800243500000;Ficção;Estados Unidos;Estrangeira;26/07/2018;Paramount;Distribuição Internacional;2.550.784;44.626.592,00
2018;Moacir;B1700465300000;Documentário;Argentina, Brasil;Brasileira;08/11/2018;Miração Filmes;Distribuição Nacional;375;4.298,00
2018;Moana - Um Mar De Aventuras;E1600655200000;Animação;Estados Unidos;Estrangeira;05/01/2017;Disney;Distribuição Internacional;1.939;14.772,00
2018;Monsieur & Madame Adelman;E1700276600000;Ficção;França;Estrangeira;20/07/2017;Imovision;Distribuição Nacional;41;610
2018;Moonlight - Sob A Luz Do Luar;E1600788800000;Ficção;Estados Unidos;Estrangeira;23/02/2017;Diamond Films;Distribuição Nacional;183;2.050,00
2018;Morangos Silvestres;E1500804700000;Ficção;Suécia;Estrangeira;Relançamento;F. J. Cines;Distribuição Nacional;147;1.342,00
2018;Morangos Silvestres;E1800119500000;Ficção;Suécia;Estrangeira;Relançamento;F. J. Cines;Distribuição Nacional;494;7.073,00
2018;Motorrad;B1700614000000;Ficção;Brasil;Brasileira;01/03/2018;Warner;Distribuição Internacional;10.493;141.413,00
2018;Mudbound - Lágrimas Sobre O Mississipi;E1700588300000;Ficção;Estados Unidos;Estrangeira;15/02/2018;Diamond Films;Distribuição Nacional;11.975;171.328,00
2018;Muito Romântico;B1600300000000;Ficção;Brasil;Brasileira;25/05/2017;Vitrine Filmes;Distribuição Nacional;6;42
2018;Mulher Do Pai;B1600420900000;Ficção;Brasil, Uruguai;Brasileira;22/06/2017;Vitrine Filmes;Distribuição Nacional;268;1.440,00
2018;Mulheres Alteradas;B1800269200000;Ficção;Brasil;Brasileira;05/07/2018;Downtown/Paris;Distribuição Nacional;92.607;1.440.179,00
2018;Mulheres Divinas*;E1700506000000;Ficção;Suíça;Estrangeira;14/12/2017;Alphaville Filmes;Distribuição Nacional;2.582;29.721,00
2018;Mulher-Maravilha;E1700197900000;Ficção;Estados Unidos;Estrangeira;01/06/2017;Warner;Distribuição Internacional;1.408;10.586,00
2018;Mulholland Drive - Cidade dos Sonhos;E1700486000000;Ficção;Estados Unidos, França;Estrangeira;Relançamento;Zeta Filmes;Distribuição Nacional;83;737
2018;Museu;E1800479300000;Ficção;México;Estrangeira;08/11/2018;Supo Mungam Films;Distribuição Nacional;12.265;197.078,00
2018;My Name Is Now, Elza Soares;B1402254000000;Documentário;Brasil;Brasileira;01/11/2018;It Filmes;Distribuição Nacional;2.836;43.868,00
2018;Mãe!;E1700401100000;Ficção;Estados Unidos;Estrangeira;21/09/2017;Paramount;Distribuição Internacional;117;861
2018;Nada A Perder;B1800110100000;Ficção;Brasil;Brasileira;29/03/2018;Downtown/Paris;Distribuição Nacional;12.184.373;120.992.794,00
2018;Nasce Uma Estrela;E1800303500000;Ficção;Estados Unidos;Estrangeira;11/10/2018;Warner;Distribuição Internacional;1.398.971;25.211.408,00
2018;Nico, 1988;E1800357100000;Ficção;Bélgica, Itália;Estrangeira;30/08/2018;Supo Mungam Films;Distribuição Nacional;3.467;50.697,00
2018;Ninguém Está Olhando*;B1700396100000;Ficção;Argentina, Brasil, Colômbia;Brasileira;23/11/2017;Vitrine Filmes;Distribuição Nacional;198;1.384,00
2018;No Intenso Agora*;B1700133700000;Documentário;Brasil;Brasileira;09/11/2017;Videofilmes;Distribuição Nacional;3.206;45.993,00
2018;No Olho Do Furacão;E1800119100000;Ficção;Estados Unidos;Estrangeira;07/06/2018;Imagem/Califórnia;Distribuição Nacional;222.792;3.084.705,00
2018;Nos Vemos No Paraíso;E1800262300000;Ficção;França;Estrangeira;05/07/2018;Pandora Filmes;Distribuição Nacional;9.108;136.110,00
2018;Nossa Irmã Mais Nova;E1500839400000;Ficção;Japão;Estrangeira;03/03/2016;Imovision;Distribuição Nacional;161;1.428,00
2018;Nova Amsterdam;B1700184000000;Ficção;Brasil;Brasileira;08/12/2018;Engady Cine Vídeo;Distribuição Nacional;340;4.323,00
2018;Não Devore Meu Coração;B1700386400000;Ficção;Brasil;Brasileira;23/11/2017;Tucumán;Distribuição Nacional;14;269
2018;Não Se Aceitam Devoluções;B1800010300000;Ficção;Brasil;Brasileira;31/05/2018;Fox;Distribuição Internacional;292.740;4.182.222,00
2018;Nós Somos As Melhores;E1402544000000;Ficção;Suécia;Estrangeira;20/11/2014;Zeta Filmes;Distribuição Nacional;28;236
2018;O Amante Duplo;E1700583100000;Ficção;Bélgica, França;Estrangeira;21/06/2018;Califórnia;Distribuição Nacional;28.086;461.009,00
2018;O Animal Cordial;B1700456600000;Ficção;Brasil;Brasileira;09/08/2018;Califórnia;Distribuição Nacional;8.517;121.650,00
2018;O Animal Sonhado;B1500416000000;Ficção;Brasil;Brasileira;20/12/2018;Olhar Distribuição;Distribuição Nacional;117;994
2018;O Avental Rosa;B1800501600000;Ficção;Brasil;Brasileira;12/12/2018;Accorde Audiovisuais;Distribuição Nacional;126;800
2018;O Banquete;B1700260300000;Ficção;Brasil;Brasileira;13/09/2018;Imovision;Distribuição Nacional;10.052;167.525,00
2018;O Beijo No Asfalto;B1700584300000;Ficção;Brasil;Brasileira;06/12/2018;Arthouse;Distribuição Nacional;7.902;112.859,00
2018;O Bom Dinossauro;E1500739200000;Animação;Estados Unidos;Estrangeira;07/01/2016;Disney;Distribuição Internacional;31;1.038,00
2018;O Botão De Pérola;E1500840700000;Documentário;Chile, Espanha, França, Suíça;Estrangeira;26/05/2016;Filmes Da Mostra;Distribuição Nacional;28;390
2018;O Caminho Dos Sonhos;E1800176200000;Ficção;Alemanha;Estrangeira;14/06/2018;Zeta Filmes;Distribuição Nacional;984;12.078,00
2018;O Candidato Honesto 2;B1800307900000;Ficção;Brasil;Brasileira;30/08/2018;Downtown/Paris;Distribuição Nacional;580.568;8.363.263,00
2018;O Caso Do Homem Errado;B1700451600000;Documentário;Brasil;Brasileira;22/03/2018;Interagir Cultural;Distribuição Nacional;1.207;10.797,00
2018;O Chamado Do Mal;E1800392500000;Ficção;Estados Unidos;Estrangeira;06/12/2018;Imagem;Distribuição Nacional;191.621;2.649.974,00
2018;O Cidadão Ilustre;E1700145100000;Ficção;Argentina;Estrangeira;11/05/2017;Cineart Filmes;Distribuição Nacional;50;408
2018;O Colar De Coralina;B1800323800000;Ficção;Brasil;Brasileira;22/11/2018;O2 Play;Distribuição Nacional;2.845;32.614,00
2018;O Confeiteiro;E1800553900000;Ficção;Alemanha, Israel;Estrangeira;27/12/2018;Imovision;Distribuição Nacional;6.558;115.583,00
2018;O Cravo E A Rosa - O Documentário;B1800055100000;Documentário;Brasil;Brasileira;15/03/2018;Nozes Produções;Distribuição Nacional;6;70
2018;O Desmonte Do Monte;B1700615400000;Documentário;Brasil;Brasileira;29/06/2018;Mercúrio Produções;Distribuição Nacional;5.121;69.773,00
2018;O Destino De Uma Nação;E1700535000000;Ficção;Reino Unido;Estrangeira;11/01/2018;Universal;Distribuição Internacional;408.928;8.321.115,00
2018;O Dia Depois;E1800074300000;Ficção;Coréia do Sul;Estrangeira;12/04/2018;Pandora Filmes;Distribuição Nacional;4.869;70.250,00
2018;O Doutrinador - O Filme;B1800397100000;Ficção;Brasil;Brasileira;27/08/2018;Downtown;Distribuição Nacional;276.658;3.933.475,00
2018;O Estrangeiro;E1700464500000;Ficção;China, Estados Unidos, Reino Unido;Estrangeira;11/01/2018;Diamond Films;Distribuição Nacional;84.880;1.220.012,00
